state,statefp,county,countyfp,year,month,num_reported_deadbirds,num_tested_deadbirds,num_positive_dead_birds
California,06,Fresno,019,2006,1,3,3,0
California,06,Kern,029,2006,1,10,7,0
California,06,Los Angeles,037,2006,1,25,22,1
California,06,Merced,047,2006,1,2,2,0
California,06,Orange,059,2006,1,12,10,0
California,06,Riverside,065,2006,1,4,2,0
California,06,Sacramento,067,2006,1,2,1,0
California,06,San Bernardino,071,2006,1,6,4,0
California,06,San Joaquin,077,2006,1,2,1,0
California,06,Stanislaus,099,2006,1,2,2,0
California,06,Tulare,107,2006,1,1,1,0
California,06,Fresno,019,2006,2,1,1,0
California,06,Kern,029,2006,2,9,6,0
California,06,Los Angeles,037,2006,2,43,35,0
California,06,Merced,047,2006,2,2,1,0
California,06,Orange,059,2006,2,9,9,1
California,06,Riverside,065,2006,2,6,3,0
California,06,Sacramento,067,2006,2,21,14,0
California,06,San Bernardino,071,2006,2,16,12,0
California,06,San Joaquin,077,2006,2,4,3,0
California,06,Solano,095,2006,2,8,6,0
California,06,Stanislaus,099,2006,2,11,11,0
California,06,Fresno,019,2006,3,15,12,0
California,06,Kern,029,2006,3,6,6,0
California,06,Los Angeles,037,2006,3,39,37,0
California,06,Merced,047,2006,3,7,6,0
California,06,Orange,059,2006,3,25,18,3
California,06,Riverside,065,2006,3,13,12,0
California,06,Sacramento,067,2006,3,61,41,2
California,06,San Bernardino,071,2006,3,19,18,0
California,06,San Joaquin,077,2006,3,5,5,0
California,06,Solano,095,2006,3,9,7,0
California,06,Stanislaus,099,2006,3,16,14,0
California,06,Tulare,107,2006,3,6,5,0
California,06,Fresno,019,2006,4,34,28,0
California,06,Kern,029,2006,4,15,11,0
California,06,Los Angeles,037,2006,4,76,53,0
California,06,Merced,047,2006,4,3,2,0
California,06,Orange,059,2006,4,36,19,6
California,06,Placer,061,2006,4,3,1,0
California,06,Riverside,065,2006,4,31,22,0
California,06,Sacramento,067,2006,4,77,51,0
California,06,San Bernardino,071,2006,4,17,11,0
California,06,San Joaquin,077,2006,4,13,8,0
California,06,Solano,095,2006,4,23,18,0
California,06,Stanislaus,099,2006,4,13,10,0
California,06,Tulare,107,2006,4,14,13,0
California,06,Fresno,019,2006,5,67,46,0
California,06,Kern,029,2006,5,25,16,0
California,06,Los Angeles,037,2006,5,117,90,0
California,06,Merced,047,2006,5,8,4,0
California,06,Orange,059,2006,5,24,12,3
California,06,Placer,061,2006,5,38,13,0
California,06,Riverside,065,2006,5,27,17,0
California,06,Sacramento,067,2006,5,109,57,0
California,06,San Bernardino,071,2006,5,49,27,0
California,06,San Joaquin,077,2006,5,18,10,0
California,06,Solano,095,2006,5,10,4,0
California,06,Stanislaus,099,2006,5,32,18,0
California,06,Tulare,107,2006,5,23,18,0
California,06,Fresno,019,2006,6,90,61,12
California,06,Kern,029,2006,6,30,14,0
California,06,Los Angeles,037,2006,6,125,102,0
California,06,Merced,047,2006,6,18,11,3
California,06,Orange,059,2006,6,42,42,6
California,06,Placer,061,2006,6,53,31,0
California,06,Riverside,065,2006,6,28,17,0
California,06,Sacramento,067,2006,6,86,49,2
California,06,San Bernardino,071,2006,6,26,17,0
California,06,San Joaquin,077,2006,6,16,13,5
California,06,Solano,095,2006,6,7,1,0
California,06,Stanislaus,099,2006,6,44,31,6
California,06,Tulare,107,2006,6,22,12,0
California,06,Fresno,019,2006,7,115,86,37
California,06,Kern,029,2006,7,41,27,10
California,06,Los Angeles,037,2006,7,56,39,2
California,06,Merced,047,2006,7,29,23,15
California,06,Orange,059,2006,7,25,25,2
California,06,Placer,061,2006,7,42,23,4
California,06,Riverside,065,2006,7,8,7,0
California,06,Sacramento,067,2006,7,123,70,25
California,06,San Bernardino,071,2006,7,18,14,4
California,06,San Joaquin,077,2006,7,60,57,27
California,06,Solano,095,2006,7,37,18,8
California,06,Stanislaus,099,2006,7,72,57,31
California,06,Tulare,107,2006,7,19,14,2
California,06,Fresno,019,2006,8,39,31,18
California,06,Kern,029,2006,8,25,17,12
California,06,Los Angeles,037,2006,8,91,82,33
California,06,Merced,047,2006,8,19,13,12
California,06,Orange,059,2006,8,35,35,12
California,06,Placer,061,2006,8,42,21,7
California,06,Riverside,065,2006,8,12,4,1
California,06,Sacramento,067,2006,8,120,83,48
California,06,San Bernardino,071,2006,8,50,29,11
California,06,San Joaquin,077,2006,8,22,19,10
California,06,Solano,095,2006,8,22,16,8
California,06,Stanislaus,099,2006,8,42,32,26
California,06,Tulare,107,2006,8,25,18,3
California,06,Fresno,019,2006,9,26,23,7
California,06,Kern,029,2006,9,10,4,0
California,06,Los Angeles,037,2006,9,85,83,44
California,06,Merced,047,2006,9,15,10,8
California,06,Orange,059,2006,9,22,22,8
California,06,Placer,061,2006,9,22,12,1
California,06,Riverside,065,2006,9,9,3,0
California,06,Sacramento,067,2006,9,38,15,8
California,06,San Bernardino,071,2006,9,41,27,12
California,06,San Joaquin,077,2006,9,10,8,3
California,06,Solano,095,2006,9,15,14,4
California,06,Stanislaus,099,2006,9,29,22,10
California,06,Tulare,107,2006,9,21,17,5
California,06,Fresno,019,2006,10,18,16,1
California,06,Kern,029,2006,10,7,5,2
California,06,Los Angeles,037,2006,10,57,49,15
California,06,Merced,047,2006,10,14,10,3
California,06,Orange,059,2006,10,30,30,3
California,06,Placer,061,2006,10,15,9,1
California,06,Riverside,065,2006,10,15,10,1
California,06,Sacramento,067,2006,10,28,21,3
California,06,San Bernardino,071,2006,10,27,20,6
California,06,San Joaquin,077,2006,10,5,4,1
California,06,Solano,095,2006,10,5,4,1
California,06,Stanislaus,099,2006,10,11,9,3
California,06,Tulare,107,2006,10,15,14,4
California,06,Fresno,019,2006,11,16,14,0
California,06,Kern,029,2006,11,6,4,0
California,06,Los Angeles,037,2006,11,30,28,2
California,06,Merced,047,2006,11,5,4,0
California,06,Orange,059,2006,11,19,19,4
California,06,Placer,061,2006,11,9,7,0
California,06,Riverside,065,2006,11,7,6,1
California,06,Sacramento,067,2006,11,15,13,1
California,06,San Bernardino,071,2006,11,10,6,0
California,06,San Joaquin,077,2006,11,4,3,0
California,06,Solano,095,2006,11,2,2,0
California,06,Stanislaus,099,2006,11,7,5,1
California,06,Tulare,107,2006,11,7,5,0
California,06,Fresno,019,2006,12,6,4,0
California,06,Kern,029,2006,12,1,1,0
California,06,Los Angeles,037,2006,12,29,28,1
California,06,Merced,047,2006,12,4,1,0
California,06,Orange,059,2006,12,10,10,1
California,06,Placer,061,2006,12,3,0,0
California,06,Riverside,065,2006,12,9,9,0
California,06,Sacramento,067,2006,12,9,9,0
California,06,San Bernardino,071,2006,12,8,5,0
California,06,San Joaquin,077,2006,12,1,1,0
California,06,Stanislaus,099,2006,12,4,2,1
California,06,Tulare,107,2006,12,10,9,0
California,06,Fresno,019,2007,1,7,6,0
California,06,Kern,029,2007,1,2,2,0
California,06,Los Angeles,037,2007,1,33,29,1
California,06,Merced,047,2007,1,7,7,0
California,06,Orange,059,2007,1,2,2,0
California,06,Placer,061,2007,1,10,7,0
California,06,Riverside,065,2007,1,4,1,0
California,06,Sacramento,067,2007,1,14,12,0
California,06,San Bernardino,071,2007,1,5,3,0
California,06,San Joaquin,077,2007,1,1,1,0
California,06,Solano,095,2007,1,2,1,0
California,06,Stanislaus,099,2007,1,7,6,0
California,06,Tulare,107,2007,1,4,4,0
California,06,Fresno,019,2007,2,9,6,0
California,06,Kern,029,2007,2,4,1,0
California,06,Los Angeles,037,2007,2,68,58,0
California,06,Merced,047,2007,2,5,4,0
California,06,Orange,059,2007,2,13,13,2
California,06,Placer,061,2007,2,4,2,0
California,06,Riverside,065,2007,2,13,6,0
California,06,Sacramento,067,2007,2,18,11,0
California,06,San Bernardino,071,2007,2,7,3,0
California,06,San Joaquin,077,2007,2,4,4,0
California,06,Stanislaus,099,2007,2,6,6,0
California,06,Tulare,107,2007,2,3,2,0
California,06,Fresno,019,2007,3,14,12,0
California,06,Kern,029,2007,3,2,0,0
California,06,Los Angeles,037,2007,3,42,38,1
California,06,Merced,047,2007,3,2,1,0
California,06,Orange,059,2007,3,17,17,1
California,06,Placer,061,2007,3,11,5,0
California,06,Riverside,065,2007,3,4,2,0
California,06,Sacramento,067,2007,3,27,16,0
California,06,San Bernardino,071,2007,3,7,7,0
California,06,San Joaquin,077,2007,3,1,1,0
California,06,Solano,095,2007,3,1,0,0
California,06,Stanislaus,099,2007,3,16,13,1
California,06,Tulare,107,2007,3,6,6,0
California,06,Fresno,019,2007,4,19,18,0
California,06,Kern,029,2007,4,11,10,0
California,06,Los Angeles,037,2007,4,34,30,0
California,06,Merced,047,2007,4,7,3,0
California,06,Orange,059,2007,4,20,20,3
California,06,Placer,061,2007,4,8,1,0
California,06,Riverside,065,2007,4,5,3,0
California,06,Sacramento,067,2007,4,32,16,0
California,06,San Bernardino,071,2007,4,22,18,0
California,06,San Joaquin,077,2007,4,4,3,0
California,06,Solano,095,2007,4,1,0,0
California,06,Stanislaus,099,2007,4,11,10,0
California,06,Tulare,107,2007,4,3,2,0
California,06,Fresno,019,2007,5,30,26,0
California,06,Kern,029,2007,5,22,9,1
California,06,Los Angeles,037,2007,5,69,57,0
California,06,Merced,047,2007,5,8,7,0
California,06,Orange,059,2007,5,16,15,1
California,06,Placer,061,2007,5,18,9,0
California,06,Riverside,065,2007,5,13,3,0
California,06,Sacramento,067,2007,5,49,29,1
California,06,San Bernardino,071,2007,5,26,17,1
California,06,San Joaquin,077,2007,5,10,7,0
California,06,Solano,095,2007,5,5,1,0
California,06,Stanislaus,099,2007,5,21,19,3
California,06,Tulare,107,2007,5,12,9,0
California,06,Fresno,019,2007,6,93,64,31
California,06,Kern,029,2007,6,144,84,46
California,06,Los Angeles,037,2007,6,45,31,1
California,06,Merced,047,2007,6,22,14,6
California,06,Orange,059,2007,6,42,40,2
California,06,Placer,061,2007,6,36,14,0
California,06,Riverside,065,2007,6,8,2,1
California,06,Sacramento,067,2007,6,88,26,4
California,06,San Bernardino,071,2007,6,22,18,2
California,06,San Joaquin,077,2007,6,9,5,2
California,06,Solano,095,2007,6,6,1,1
California,06,Stanislaus,099,2007,6,97,64,34
California,06,Tulare,107,2007,6,13,6,1
California,06,Fresno,019,2007,7,91,67,45
California,06,Kern,029,2007,7,123,69,42
California,06,Los Angeles,037,2007,7,49,37,9
California,06,Merced,047,2007,7,41,26,16
