state,statefp,county,countyfp,year,month,trap_type,species,num_sites,num_collection_events,num_trap_nights,num_adult_females_collected,num_collection_events_with_detection
California,06,Los Angeles,037,2003,1,CO2,Culex quinquefasciatus,54,150,150,272,48
California,06,Los Angeles,037,2003,1,CO2,Culex tarsalis,54,150,150,4,3
California,06,Los Angeles,037,2003,1,CO2,No Detection,54,150,150,0,101
California,06,Los Angeles,037,2003,1,GRAV,Culex quinquefasciatus,3,8,8,113,6
California,06,Los Angeles,037,2003,1,GRAV,Culex tarsalis,3,8,8,1,1
California,06,Los Angeles,037,2003,1,GRAV,No Detection,3,8,8,0,2
California,06,Riverside,065,2003,1,GRAV,Culex quinquefasciatus,4,4,4,29,8
California,06,Riverside,065,2003,1,NJLT,Culex pipiens,1,12,84,4,2
California,06,Riverside,065,2003,1,NJLT,Culex stigmatosoma,1,12,84,1,1
California,06,Riverside,065,2003,1,NJLT,Culex tarsalis,1,12,84,23,5
California,06,Riverside,065,2003,1,NJLT,No Detection,1,12,84,0,6
California,06,Sacramento,067,2003,1,NJLT,Culex pipiens,27,98,687,152,47
California,06,Sacramento,067,2003,1,NJLT,Culex stigmatosoma,27,98,687,3,3
California,06,Sacramento,067,2003,1,NJLT,Culex tarsalis,27,98,687,72,34
California,06,Sacramento,067,2003,1,NJLT,No Detection,27,98,687,0,33
California,06,Sacramento,067,2003,1,OTHER,Culex pipiens,11,44,308,16,14
California,06,Sacramento,067,2003,1,OTHER,Culex tarsalis,11,44,308,9,8
California,06,Sacramento,067,2003,1,OTHER,No Detection,11,44,308,0,26
California,06,Yolo,113,2003,1,NJLT,Culex pipiens,16,63,441,21,14
California,06,Yolo,113,2003,1,NJLT,Culex tarsalis,16,63,441,80,38
California,06,Yolo,113,2003,1,NJLT,No Detection,16,63,441,0,20
California,06,Yolo,113,2003,1,OTHER,Culex pipiens,8,29,203,10,4
California,06,Yolo,113,2003,1,OTHER,Culex tarsalis,8,29,203,7,5
California,06,Yolo,113,2003,1,OTHER,No Detection,8,29,203,0,20
California,06,Los Angeles,037,2003,2,CO2,Culex quinquefasciatus,56,108,108,149,27
California,06,Los Angeles,037,2003,2,CO2,No Detection,56,108,108,0,81
California,06,Los Angeles,037,2003,2,GRAV,Culex quinquefasciatus,3,4,4,32,2
California,06,Los Angeles,037,2003,2,GRAV,No Detection,3,4,4,0,2
California,06,Riverside,065,2003,2,CO2,Culex quinquefasciatus,41,41,41,625,17
California,06,Riverside,065,2003,2,CO2,Culex tarsalis,41,41,41,7540,42
California,06,Riverside,065,2003,2,GRAV,Culex quinquefasciatus,5,14,14,72,12
California,06,Riverside,065,2003,2,GRAV,No Detection,5,14,14,0,4
California,06,Riverside,065,2003,2,NJLT,Culex pipiens,1,39,273,27,14
California,06,Riverside,065,2003,2,NJLT,Culex stigmatosoma,1,39,273,7,5
California,06,Riverside,065,2003,2,NJLT,Culex tarsalis,1,39,273,44,19
California,06,Riverside,065,2003,2,NJLT,No Detection,1,39,273,0,10
California,06,Sacramento,067,2003,2,NJLT,Culex pipiens,27,95,665,188,54
California,06,Sacramento,067,2003,2,NJLT,Culex stigmatosoma,27,95,665,1,1
California,06,Sacramento,067,2003,2,NJLT,Culex tarsalis,27,95,665,46,30
California,06,Sacramento,067,2003,2,NJLT,No Detection,27,95,665,0,33
California,06,Sacramento,067,2003,2,OTHER,Culex pipiens,15,54,378,30,14
California,06,Sacramento,067,2003,2,OTHER,Culex stigmatosoma,15,54,378,1,1
California,06,Sacramento,067,2003,2,OTHER,Culex tarsalis,15,54,378,8,7
California,06,Sacramento,067,2003,2,OTHER,No Detection,15,54,378,0,33
California,06,Yolo,113,2003,2,NJLT,Culex pipiens,16,61,426,6,6
California,06,Yolo,113,2003,2,NJLT,Culex stigmatosoma,16,61,426,1,1
California,06,Yolo,113,2003,2,NJLT,Culex tarsalis,16,61,426,86,33
California,06,Yolo,113,2003,2,NJLT,No Detection,16,61,426,0,27
California,06,Yolo,113,2003,2,OTHER,Culex pipiens,8,31,217,5,5
California,06,Yolo,113,2003,2,OTHER,Culex tarsalis,8,31,217,28,15
California,06,Yolo,113,2003,2,OTHER,No Detection,8,31,217,0,12
California,06,Los Angeles,037,2003,3,CO2,Culex quinquefasciatus,41,107,113,180,42
California,06,Los Angeles,037,2003,3,CO2,Culex tarsalis,41,107,113,2,2
California,06,Los Angeles,037,2003,3,CO2,No Detection,41,107,113,0,65
California,06,Los Angeles,037,2003,3,GRAV,Culex quinquefasciatus,3,3,3,8,3
California,06,Riverside,065,2003,3,CO2,Culex quinquefasciatus,42,83,83,1332,46
California,06,Riverside,065,2003,3,CO2,Culex tarsalis,42,83,83,23644,87
California,06,Riverside,065,2003,3,GRAV,Culex quinquefasciatus,5,20,20,302,30
California,06,Riverside,065,2003,3,GRAV,Culex tarsalis,5,20,20,1,1
California,06,Riverside,065,2003,3,GRAV,No Detection,5,20,20,0,4
California,06,Riverside,065,2003,3,NJLT,Culex pipiens,1,42,294,93,23
California,06,Riverside,065,2003,3,NJLT,Culex stigmatosoma,1,42,294,9,6
California,06,Riverside,065,2003,3,NJLT,Culex tarsalis,1,42,294,186,23
