state,statefp,county,countyfp,year,month,num_tested_chickens,num_tested_flocks,num_positive_chickens
California,06,Fresno,019,2004,4,105,10,0
California,06,Kern,029,2004,4,155,13,0
California,06,Los Angeles,037,2004,4,237,16,0
California,06,Merced,047,2004,4,36,6,0
California,06,Orange,059,2004,4,10,1,0
California,06,Placer,061,2004,4,57,6,0
California,06,Riverside,065,2004,4,352,21,0
California,06,San Bernardino,071,2004,4,222,17,0
California,06,San Joaquin,077,2004,4,72,6,0
California,06,Stanislaus,099,2004,4,100,9,0
California,06,Tulare,107,2004,4,92,8,0
California,06,Fresno,019,2004,5,105,10,0
California,06,Kern,029,2004,5,174,15,0
California,06,Los Angeles,037,2004,5,237,16,0
California,06,Merced,047,2004,5,36,6,0
California,06,Orange,059,2004,5,10,1,0
California,06,Placer,061,2004,5,57,6,0
California,06,Riverside,065,2004,5,352,21,6
California,06,San Bernardino,071,2004,5,222,17,0
California,06,San Joaquin,077,2004,5,72,6,0
California,06,Solano,095,2004,5,24,2,0
California,06,Stanislaus,099,2004,5,100,9,0
California,06,Tulare,107,2004,5,92,8,0
California,06,Fresno,019,2004,6,105,10,0
California,06,Kern,029,2004,6,174,15,0
California,06,Los Angeles,037,2004,6,266,21,15
California,06,Merced,047,2004,6,36,6,0
California,06,Orange,059,2004,6,10,1,0
California,06,Placer,061,2004,6,57,6,0
California,06,Riverside,065,2004,6,352,21,49
California,06,San Bernardino,071,2004,6,222,17,29
California,06,San Joaquin,077,2004,6,72,6,0
California,06,Solano,095,2004,6,24,2,0
California,06,Stanislaus,099,2004,6,100,9,0
California,06,Tulare,107,2004,6,92,8,0
California,06,Fresno,019,2004,7,105,10,0
California,06,Kern,029,2004,7,174,15,1
California,06,Los Angeles,037,2004,7,270,21,10
California,06,Merced,047,2004,7,36,6,0
California,06,Orange,059,2004,7,10,1,0
California,06,Placer,061,2004,7,57,6,0
California,06,Riverside,065,2004,7,352,21,99
California,06,San Bernardino,071,2004,7,222,17,91
California,06,San Joaquin,077,2004,7,72,6,0
California,06,Solano,095,2004,7,24,2,0
California,06,Stanislaus,099,2004,7,100,9,0
California,06,Tulare,107,2004,7,92,8,0
California,06,Fresno,019,2004,8,105,10,11
California,06,Kern,029,2004,8,174,15,41
California,06,Los Angeles,037,2004,8,238,20,49
California,06,Merced,047,2004,8,36,6,0
California,06,Orange,059,2004,8,10,1,3
California,06,Placer,061,2004,8,57,6,4
California,06,Riverside,065,2004,8,352,21,126
California,06,San Bernardino,071,2004,8,207,15,100
California,06,San Joaquin,077,2004,8,72,6,7
California,06,Solano,095,2004,8,24,2,0
California,06,Stanislaus,099,2004,8,100,9,0
California,06,Tulare,107,2004,8,92,8,1
California,06,Fresno,019,2004,9,105,10,21
California,06,Kern,029,2004,9,174,15,91
California,06,Los Angeles,037,2004,9,321,30,107
California,06,Merced,047,2004,9,36,6,0
California,06,Orange,059,2004,9,10,1,3
California,06,Placer,061,2004,9,57,6,21
California,06,Riverside,065,2004,9,352,21,145
California,06,Sacramento,067,2004,9,10,3,9
California,06,San Bernardino,071,2004,9,222,17,112
California,06,San Joaquin,077,2004,9,72,6,11
California,06,Solano,095,2004,9,24,2,0
California,06,Stanislaus,099,2004,9,100,9,9
California,06,Tulare,107,2004,9,92,8,11
California,06,Fresno,019,2004,10,94,9,13
California,06,Kern,029,2004,10,164,14,91
California,06,Los Angeles,037,2004,10,279,26,100
California,06,Merced,047,2004,10,36,6,0
California,06,Orange,059,2004,10,10,1,3
California,06,Placer,061,2004,10,57,6,25
