state,statefp,county,countyfp,year,month,num_positive_dead_birds
California,06,Los Angeles,037,2006,1,1
California,06,Orange,059,2006,2,1
California,06,Orange,059,2006,3,3
California,06,Sacramento,067,2006,3,2
California,06,Orange,059,2006,4,6
California,06,Orange,059,2006,5,3
California,06,Fresno,019,2006,6,12
California,06,Merced,047,2006,6,3
California,06,Orange,059,2006,6,6
California,06,Sacramento,067,2006,6,2
California,06,San Joaquin,077,2006,6,5
California,06,Stanislaus,099,2006,6,6
California,06,Fresno,019,2006,7,37
California,06,Kern,029,2006,7,10
California,06,Los Angeles,037,2006,7,2
California,06,Merced,047,2006,7,15
California,06,Orange,059,2006,7,2
California,06,Placer,061,2006,7,4
California,06,Sacramento,067,2006,7,25
California,06,San Bernardino,071,2006,7,4
California,06,San Joaquin,077,2006,7,27
California,06,Solano,095,2006,7,8
California,06,Stanislaus,099,2006,7,31
California,06,Tulare,107,2006,7,2
California,06,Fresno,019,2006,8,18
California,06,Kern,029,2006,8,12
California,06,Los Angeles,037,2006,8,33
California,06,Merced,047,2006,8,12
California,06,Orange,059,2006,8,12
California,06,Placer,061,2006,8,7
California,06,Riverside,065,2006,8,1
California,06,Sacramento,067,2006,8,48
California,06,San Bernardino,071,2006,8,11
California,06,San Joaquin,077,2006,8,10
California,06,Solano,095,2006,8,8
California,06,Stanislaus,099,2006,8,26
California,06,Tulare,107,2006,8,3
California,06,Fresno,019,2006,9,7
California,06,Los Angeles,037,2006,9,44
California,06,Merced,047,2006,9,8
California,06,Orange,059,2006,9,8
California,06,Placer,061,2006,9,1
California,06,Sacramento,067,2006,9,8
California,06,San Bernardino,071,2006,9,12
California,06,San Joaquin,077,2006,9,3
California,06,Solano,095,2006,9,4
California,06,Stanislaus,099,2006,9,10
California,06,Tulare,107,2006,9,5
California,06,Fresno,019,2006,10,1
California,06,Kern,029,2006,10,2
California,06,Los Angeles,037,2006,10,15
California,06,Merced,047,2006,10,3
California,06,Orange,059,2006,10,3
California,06,Placer,061,2006,10,1
California,06,Riverside,065,2006,10,1
California,06,Sacramento,067,2006,10,3
California,06,San Bernardino,071,2006,10,6
California,06,San Joaquin,077,2006,10,1
California,06,Solano,095,2006,10,1
California,06,Stanislaus,099,2006,10,3
California,06,Tulare,107,2006,10,4
California,06,Los Angeles,037,2006,11,2
California,06,Orange,059,2006,11,4
California,06,Riverside,065,2006,11,1
California,06,Sacramento,067,2006,11,1
California,06,Stanislaus,099,2006,11,1
California,06,Los Angeles,037,2006,12,1
California,06,Orange,059,2006,12,1
California,06,Stanislaus,099,2006,12,1
California,06,Los Angeles,037,2007,1,1
California,06,Orange,059,2007,2,2
California,06,Los Angeles,037,2007,3,1
California,06,Orange,059,2007,3,1
California,06,Stanislaus,099,2007,3,1
California,06,Orange,059,2007,4,3
California,06,Kern,029,2007,5,1
California,06,Orange,059,2007,5,1
California,06,Sacramento,067,2007,5,1
California,06,San Bernardino,071,2007,5,1
California,06,Stanislaus,099,2007,5,3
California,06,Fresno,019,2007,6,31
California,06,Kern,029,2007,6,46
California,06,Los Angeles,037,2007,6,1
California,06,Merced,047,2007,6,6
California,06,Orange,059,2007,6,2
California,06,Riverside,065,2007,6,1
California,06,Sacramento,067,2007,6,4
California,06,San Bernardino,071,2007,6,2
California,06,San Joaquin,077,2007,6,2
California,06,Solano,095,2007,6,1
California,06,Stanislaus,099,2007,6,34
California,06,Tulare,107,2007,6,1
California,06,Fresno,019,2007,7,45
California,06,Kern,029,2007,7,42
California,06,Los Angeles,037,2007,7,9
California,06,Merced,047,2007,7,16
California,06,Placer,061,2007,7,4
California,06,Sacramento,067,2007,7,33
California,06,San Bernardino,071,2007,7,1
California,06,San Joaquin,077,2007,7,20
California,06,Stanislaus,099,2007,7,40
California,06,Tulare,107,2007,7,5
California,06,Fresno,019,2007,8,21
California,06,Kern,029,2007,8,18
California,06,Los Angeles,037,2007,8,76
California,06,Merced,047,2007,8,5
California,06,Placer,061,2007,8,8
California,06,Riverside,065,2007,8,2
California,06,Sacramento,067,2007,8,52
