state,statefp,county,countyfp,year,month,trap_type,species,num_pools,num_mosquitoes,num_pools_wnv
California,06,Riverside,065,2003,2,CO2,Culex tarsalis,39,1804,0
California,06,Riverside,065,2003,3,CO2,Culex tarsalis,116,5700,0
California,06,Placer,061,2003,4,GRAV,Culex pipiens,1,1,0
California,06,Placer,061,2003,4,GRAV,Culex restuans,2,15,0
California,06,Riverside,065,2003,4,CO2,Culex quinquefasciatus,13,292,0
California,06,Riverside,065,2003,4,CO2,Culex tarsalis,107,4855,0
California,06,Riverside,065,2003,4,GRAV,Culex quinquefasciatus,7,142,0
California,06,Riverside,065,2003,4,GRAV,Culex tarsalis,1,1,0
California,06,Fresno,019,2003,5,CO2,Culex restuans,1,1,0
California,06,Fresno,019,2003,5,CO2,Culex salinarius,1,3,0
California,06,Fresno,019,2003,5,GRAV,Culex pipiens,2,16,0
California,06,Fresno,019,2003,5,GRAV,Culex restuans,58,1155,0
California,06,Los Angeles,037,2003,5,GRAV,Culex pipiens,1,1,0
California,06,Los Angeles,037,2003,5,GRAV,Culex restuans,4,170,0
California,06,Los Angeles,037,2003,5,GRAV,Culex salinarius,2,3,0
California,06,Placer,061,2003,5,GRAV,Culex pipiens,1,1,0
California,06,Placer,061,2003,5,GRAV,Culex restuans,2,73,0
California,06,Riverside,065,2003,5,CO2,Culex quinquefasciatus,65,2916,0
California,06,Riverside,065,2003,5,CO2,Culex tarsalis,128,5658,0
California,06,Riverside,065,2003,5,GRAV,Culex quinquefasciatus,25,758,0
California,06,Riverside,065,2003,5,GRAV,Culex restuans,14,538,0
California,06,Riverside,065,2003,5,GRAV,Culex tarsalis,1,32,0
California,06,Sacramento,067,2003,5,CO2,Culex restuans,3,25,0
California,06,Sacramento,067,2003,5,GRAV,Culex pipiens,1,3,0
California,06,Sacramento,067,2003,5,GRAV,Culex restuans,11,383,0
California,06,Stanislaus,099,2003,5,GRAV,Culex pipiens,2,4,0
California,06,Stanislaus,099,2003,5,GRAV,Culex restuans,7,255,0
California,06,Fresno,019,2003,6,CO2,Culex restuans,1,13,0
California,06,Fresno,019,2003,6,CO2,Culex salinarius,5,250,0
California,06,Fresno,019,2003,6,GRAV,Culex pipiens,2,7,0
California,06,Fresno,019,2003,6,GRAV,Culex restuans,53,1175,0
California,06,Fresno,019,2003,6,OTHER,Culex restuans,6,213,0
California,06,Kern,029,2003,6,OTHER,Culex restuans,1,1,0
California,06,Los Angeles,037,2003,6,CO2,Culex salinarius,3,150,0
California,06,Los Angeles,037,2003,6,GRAV,Culex restuans,1,45,0
California,06,Los Angeles,037,2003,6,OTHER,Culex restuans,1,1,0
California,06,Merced,047,2003,6,GRAV,Culex pipiens,6,88,0
California,06,Merced,047,2003,6,GRAV,Culex restuans,9,389,0
California,06,Placer,061,2003,6,CO2,Culex salinarius,1,2,0
California,06,Placer,061,2003,6,GRAV,Culex restuans,7,210,0
California,06,Riverside,065,2003,6,CO2,Culex quinquefasciatus,31,1289,0
California,06,Riverside,065,2003,6,CO2,Culex salinarius,1,4,0
California,06,Riverside,065,2003,6,CO2,Culex tarsalis,111,4870,0
California,06,Riverside,065,2003,6,GRAV,Culex pipiens,2,12,0
California,06,Riverside,065,2003,6,GRAV,Culex quinquefasciatus,20,479,0
California,06,Riverside,065,2003,6,GRAV,Culex restuans,14,528,0
California,06,Riverside,065,2003,6,OTHER,Culex restuans,2,30,0
California,06,Sacramento,067,2003,6,CO2,Culex salinarius,4,151,0
California,06,Sacramento,067,2003,6,GRAV,Culex restuans,7,324,0
California,06,Sacramento,067,2003,6,OTHER,Culex restuans,2,52,0
California,06,Fresno,019,2003,7,CO2,Culex salinarius,1,37,0
California,06,Fresno,019,2003,7,GRAV,Culex pipiens,2,17,0
California,06,Fresno,019,2003,7,GRAV,Culex restuans,18,319,0
California,06,Fresno,019,2003,7,GRAV,Culex salinarius,2,6,0
California,06,Fresno,019,2003,7,OTHER,Culex restuans,7,129,0
California,06,Fresno,019,2003,7,OTHER,Culex salinarius,4,9,0
California,06,Kern,029,2003,7,CO2,Culex restuans,1,1,0
California,06,Kern,029,2003,7,CO2,Culex salinarius,2,52,0
California,06,Kern,029,2003,7,GRAV,Culex pipiens,1,55,0
California,06,Kern,029,2003,7,GRAV,Culex restuans,7,191,0
California,06,Los Angeles,037,2003,7,CO2,Culex pipiens,2,71,0
California,06,Los Angeles,037,2003,7,CO2,Culex restuans,3,90,0
California,06,Los Angeles,037,2003,7,CO2,Culex salinarius,3,138,0
California,06,Los Angeles,037,2003,7,GRAV,Culex pipiens,2,2,0
California,06,Los Angeles,037,2003,7,GRAV,Culex restuans,6,180,0
California,06,Los Angeles,037,2003,7,OTHER,Culex restuans,1,3,0
California,06,Merced,047,2003,7,OTHER,Culex pipiens,1,1,0
California,06,Merced,047,2003,7,OTHER,Culex restuans,1,3,0
California,06,Orange,059,2003,7,CO2,Culex pipiens,1,3,0
California,06,Orange,059,2003,7,CO2,Culex restuans,1,45,1
California,06,Orange,059,2003,7,CO2,Culex salinarius,1,35,0
California,06,Orange,059,2003,7,GRAV,Culex pipiens,1,3,0
California,06,Orange,059,2003,7,GRAV,Culex restuans,3,107,1
California,06,Orange,059,2003,7,OTHER,Culex restuans,1,3,0
California,06,Placer,061,2003,7,CO2,Culex salinarius,1,26,0
California,06,Placer,061,2003,7,GRAV,Culex restuans,7,294,0
California,06,Riverside,065,2003,7,CO2,Culex quinquefasciatus,11,336,0
California,06,Riverside,065,2003,7,CO2,Culex restuans,4,69,0
California,06,Riverside,065,2003,7,CO2,Culex salinarius,6,260,0
California,06,Riverside,065,2003,7,CO2,Culex tarsalis,63,2069,0
California,06,Riverside,065,2003,7,GRAV,Culex pipiens,1,5,0
California,06,Riverside,065,2003,7,GRAV,Culex quinquefasciatus,14,210,0
California,06,Riverside,065,2003,7,GRAV,Culex restuans,4,153,0
California,06,Riverside,065,2003,7,OTHER,Culex restuans,1,2,0
California,06,Sacramento,067,2003,7,CO2,Culex restuans,1,26,0
California,06,Sacramento,067,2003,7,GRAV,Culex pipiens,2,29,0
California,06,Sacramento,067,2003,7,GRAV,Culex restuans,2,110,0
California,06,San Bernardino,071,2003,7,OTHER,Culex restuans,2,19,0
California,06,San Bernardino,071,2003,7,OTHER,Culex salinarius,1,1,0
California,06,Stanislaus,099,2003,7,CO2,Culex pipiens,1,13,0
California,06,Stanislaus,099,2003,7,CO2,Culex restuans,1,31,0
California,06,Stanislaus,099,2003,7,CO2,Culex salinarius,3,150,0
California,06,Stanislaus,099,2003,7,GRAV,Culex pipiens,1,2,0
California,06,Fresno,019,2003,8,CO2,Culex pipiens,1,17,0
California,06,Fresno,019,2003,8,CO2,Culex restuans,1,5,0
California,06,Fresno,019,2003,8,CO2,Culex salinarius,7,74,0
California,06,Fresno,019,2003,8,GRAV,Culex pipiens,7,153,1
California,06,Fresno,019,2003,8,GRAV,Culex restuans,9,92,0
California,06,Fresno,019,2003,8,GRAV,Culex salinarius,2,6,0
California,06,Fresno,019,2003,8,OTHER,Culex restuans,1,11,0
California,06,Kern,029,2003,8,GRAV,Culex pipiens,5,234,1
California,06,Kern,029,2003,8,GRAV,Culex restuans,5,117,2
California,06,Los Angeles,037,2003,8,CO2,Culex pipiens,4,200,0
California,06,Los Angeles,037,2003,8,CO2,Culex salinarius,7,289,0
